oh okay and it's uh really nice uh it's a big area for people to come from the different uh countries mostly like Japan and Germany and England and they usually	go	to Carmel and vacation on the beaches so it's it's pretty nice uh year round but um cool always cool in the evenings and uh warm in the warm in the summer but it's stays pretty cool even uh during the winter for as nice as it is	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw2772-ms98-a-trans.txt	1	12	0.2952535432762076	bert_large_bert_large_gpt2_large_gpt2_large_gpt2_med_gpt2_med_gpt2_xl_gpt2_xl_gpt_gpt_roberta_roberta
So I had to, I was offered a job at Ashley Park or Berryhill and I chose Berryhill. I didn't particularly want to	come	here and when I came here everybody noticed that I was really, really sad because I loved being at Enderly Park. But then, after awhile, I fell in love with Berryhill.	go	come	drive	walk	arrive	OANC_spoken	spoken	#face-to-face#	face-to-face_ReidSandra.txt	1	12	0.22947548907767615	gpt2_base_gpt2_base_gpt2_large_gpt2_large_gpt2_med_gpt2_med_gpt2_xl_gpt2_xl_gpt_gpt_txl_txl
choosing a college i i kind of did or i'd i went off to i grew up in California and i went off to the University of Utah and didn't find the atmosphere there what i quite expected so i	came	back and went to Cal State and so i kind of do what you did only by route of another school and uh-huh	went	came	drove	walked	arrived	OANC_spoken	spoken	#telephone#	telephone_sw2153-ms98-a-trans.txt	3	10	0.4284036228462599	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
uh like that was a Saturday morning and it rained all day Saturday and it was still raining Sunday morning we went over and set up camp and you know stayed there over night we couldn't do anything so as soon as we woke up Sunday morning we you know we had breakfast and then we all	came	back home um-hum	went	came	drove	walked	arrived	OANC_spoken	spoken	#telephone#	telephone_sw2805-ms98-a-trans.txt	3	10	0.4984318355967113	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
yeah they sure develop their own interests i can i can remember when my children used to beg me to go with you know even to take them to the store or take them someplace and and it just gradually goes away until you have to ask them do you want to	come	with me and then they start saying no so it can be pretty sudden too	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw2273-ms98-a-trans.txt	1	10	0.7180824801528021	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
no it was down it was down i had to have the window down i went to uh put the window back up it was the middle of winter and the window wouldn't go up because i had the cable yeah so you had a trip that you had to go to the next day in the middle of winter and your window would not	come	back up all right and no i took the door all apart again and i moved the cable over so it wasn't blocking the window but uh i don't know it used to be fun doing those sorts of things and i don't maybe i'm loosing interest or	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw4290-ms98-a-trans.txt	1	9	0.9046212283688129	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta
um-hum um-hum it told what happened when they got there and how many kids they had and it just kept	coming	on up through the generations so it was really that was really neat and	going	coming	driving	walking	arriving	OANC_spoken	spoken	#telephone#	telephone_sw2485-ms98-a-trans.txt	2	9	0.5716898264771597	bert_base_bert_large_distilbert_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta_txl
uh i might really agree with it you know if they tell you before you	come	into employment like when you're going to get hired um-hum	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw3273-ms98-a-trans.txt	1	9	0.3297123722870249	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta
AEROMAX 2000 HAND-THROWN PARACHUTE W/MAN $9.99 "hours of fun for young & old alike."--Man goes up; man	comes	down. Man goes up; man	goes	comes	drives	walks	arrives	OANC_written	written	#journal#	journal_ArticleIP_31316.txt	4	8	0.9435128912063698	bert_base_bert_large_distilbert_gpt2_base_gpt2_large_gpt2_med_gpt_roberta
Cal's a great great great school it really is yeah yeah i want to	come	visit California at some point you've never been	go	come	drive	walk	arrive	OANC_spoken	spoken	#telephone#	telephone_sw2829-ms98-a-trans.txt	1	8	0.5768794558766509	bert_base_bert_large_gpt2_base_gpt2_large_gpt2_med_gpt2_xl_gpt_roberta
