The bird handler from the nation's prominent treatment center for wild animals counted to three, giving the group time to pull out their cameras and focus them, and then tossed the eagle up toward the bright blue sky. [SEP] To gasps all around, it took the big, strong bird only a few beats of its massive wings to shoot skyward, eventually veering toward the spot where two rangers found it on the ice Dec. 10, after it was injured in a tussle with another eagle. [SEP] " Oh, look at that! " said Cathy Earnest, who'd	driven	from Brandy Station with a friend to see her first release of an eagle treated for injuries. [SEP] " This was just an opportunity I couldn't miss, " she added a moment later.	natural	COCA; 2017 (17-01-22); Eagle rescued at Caledon released in front of well-wishers; NEWS: Virginian-Pilot	drive	natural	natural	5	none	3rd	from Brandy Station	
Sarah put her hand on Maya's shoulder and Maya's shudders passed right into her skin. [SEP] Then she saw Conningsby. [SEP] A cowboy in a straw hat and blue jeans, riding a black-maned horse. [SEP] He wasn't galloping or showing off, just clopping across the rocky arroyo, but he did this with great ease and dignity. [SEP] " He could tell us how to get there, " Sarah said. [SEP] Max kept	driving	, as if she hadn't said anything, as if the cowboy did not exist, as if Maya weren't steeped in some sorrow all her own. [SEP] Sarah turned to the rear window. [SEP] The cowboy had stopped his horse and was watching their car. [SEP] He saw her looking and doffed his hat. [SEP] She waved back.	natural	COCA; 2016; Love maps; Eliza Factor; FIC: Love maps	drive	natural	natural	2	none	3rd	none	
An elegant couple, the woman in silvery lam, swan past us to their table in the buzzing main room. [SEP] Outside, on Washington Boulevard, a Hollywood film crew is shooting a scene. [SEP] Klieg lights dazzle like diamonds. [SEP] " I think New York has a bit of a crush on Detroit, " [SEP] McCallum remarks. [SEP] Hard to believe nightlife in this town was once so moribund visitors would	drive	to Grosse Pointe, a plaid-and-preppy suburb, for fun. [SEP] I end up at Cafe d'Mongo's Speakeasy with McCallum and an ever-growing crowd of hipsters, artists, and night crawlers. [SEP] The bartenders serve up ribs and cocktails that mix Captain Morgan rum with Faygo, a local soda pop that Detroiters seem to guzzle with everything.	natural	COCA; 2012; Mar/Apr 2012; RISE AND SHINE DETROIT; Nelson, Andrew; MAG: National Geographic Traveler	drive	natural	natural	1	none	3rd	to Grosse Pointe	
According to court documents, Mr. Domingo carefully considered implementing the plan, specifically saying he wanted to sleep on it for a few days. [SEP] He then gave the final go-ahead last Thursday, and the dummy bombs were delivered Friday evening during a final meeting with the two undercover operatives. [SEP] Mr. Domingo received instructions on how to detonate the devices he believed to be bombs. [SEP] And then he	drove	with the two purported confederates to Long Beach, where they walked around the area of the plan to rally to find places to plant the bombs where crowds would likely gather in order to inflict the maximum number of deaths. [SEP] He was arrested shortly thereafter.	natural	COCA; 2019 (19-04-29); Attorney General Spars With Congressional Democrats; Authorities Stop Alleged Terror Plot in Los Angeles; Joe Biden Holds First Presidential Rally	drive	natural	natural	3	none	accompaniment	with the two purported confederates	
I hope you all enjoyed your holiday weekend and that it was peaceful and restful! [SEP] I am wondering if any of you did any Black Friday shopping this past week--I was	driving	home from Chicago on Thanksgiving night and could not believe the the traffic and lines that were out in front of stores!	natural	CORE;   Personal Blog; A Wise Woman Builds Her Home; http://proverbs14verse1.blogspot.com/	drive	natural	natural	2	none	homebase	home	
After the ceremonies, food and refreshments were served. [SEP] Someone had brought some fireworks, so that at dusk a final celebration was held. [SEP] In the glare of the explosions, the surrounding mountaintops seemed to glisten with fire. [SEP] " We're real proud of you, Ida, " her mother said as the family	drove	home. [SEP] Mr. Bidson was in the driver's seat. [SEP] Felix and Ida were in the back. [SEP] " Real proud, " Mr. Bidson agreed. [SEP] " Only thing is, you've got some real work cut out for you this summer. " [SEP] " Why? " Ida said, slightly alarmed. [SEP] " Well, you'll be going to high school in the fall, right?"	natural	COCA; 2010 (100924); Publication information  FEATURES; Pg. 28; The Secret School; A breakfast serials story; Avi, Special to the Chicago Sun-Times; NEWS: Chicago Sun-Times	drive	natural	natural	3	none	homebase	home	
Clementine led me up a hill into the woods. [SEP] I followed her all the way and back to a small wooden shack on the side of a dirt road. [SEP] It used to be a full bar before it was shuttered up sometime when our grandparents were kids. [SEP] I had only ever seen it from the road. [SEP] It was the kind of thing you	drove	by at night to scare yourself, but no one I knew had gone in person. [SEP] In front of the shack, we crossed over a railroad that still carried coal across state lines. [SEP] There was an old story about the place everyone at school had heard.	natural	COCA; 2018 (2018/01/01); Vol. 76, Issue 1; Clementine	drive	natural	natural	3	none	listener	by	
" Is this where Billy White Feather lives? " " It's where he's supposed to live soon, " she said. [SEP] " I was leaving him a note. Are you his girlfriend? " " I'm her roommate. " She sniffed like she had a cold. [SEP] " What do you want with Billy? " " Billy leff me a note at my place up in Wyoming, " Oliver said. [SEP] " Yeah? " " I don't know this Billy and I want to know why he left me a note. " " You drove all the way from Wyoming for that? " When she said it, it did sound sort of crazy. [SEP] " I'm calling the cops if you don't leave, " she said.	drove	straight from there to see me. [SEP] You've spent a good deal of the day talking on the phone. [SEP] You've been under an incredible amount of stress. [SEP] " [SEP] " [SEP] You don't think asking foundations for money is stressful? [SEP] " [SEP] " [SEP] That isn't what you were doing. [SEP] You were telling Porter to stay out of sight until it was safe. [SEP] Whoever the hell Porter is. [SEP] " [SEP] He stared at her in shock.	natural	COCA; 2017; Night watch; Iris Johansen; FIC: Night watch	drive	natural	natural	3	none	listener	straight from there	
That kind of radio consolidation might not make you mad if, like seemingly most of the world's media-savvy twenty- and thirtysomethings, you don't spend your mornings listening to drive-time radio. [SEP] That kind of consolidation has trickled down into newsrooms as well, meaning that local news coverage on most commercially owned radio stations is almost non-existent, just like local flair. [SEP] As McChesney puts it, " Fifty years ago when you	drove	from New York to California, every station would have a whole different sound to it because there would be different people talking. [SEP] You'd learn a lot about the local community through the radio, and that's all gone now. [SEP] They destroyed radio. [SEP] It was assassinated by the FCC and corporate lobbyists. [SEP] "	natural	COCA; 2016 (16-08-10); The Telecommunications Act Of 1996 gave us shitty cell service; MAG: A.V. Club	drive	natural	natural	3	none	listener	from New York to California	
Canvassers there are eager to encourage all voters to get out to the polls. [SEP] One canvasser, who declined to have his name for publication, was doing just that last week when he ran in to trouble. [SEP] He and his canvassing partner, who are both Latino, noticed local Sheriffs were sometimes tailing them, but they continued their work. [SEP] They	drove	to a local convenience store for snacks, but when they got back into their car, they realized they couldn't back away from the parking spot because it was blocked by two Pueblo County Sheriff's vehicles.	natural	CORE; News Report/Blog; Voting Rights Watch 2012 | The Nation; http://www.thenation.com/blogs/voting-rights-watch-2012	drive	natural	natural	3	none	protagonist	to a local convenience store	
I saved reports I had done back in seventh or eighth grade showing this is what I wanted to do,' Grider said. [SEP] ' Anything I read when younger had to do with fishing Lake Michigan. [SEP] ' // He was a mechanic in Kenosha, Wis., and went to technical school but made the jump into fishing as work. //' [SEP] I like working on cars, but I love fishing,' said Grider, who used to	drive	to Port Washington to cast from shore for salmon. [SEP] //' At the beginning of high school, I worked in a body shop after school. [SEP] I didn't care for that kind of work. [SEP] I would rather be out fishing. [SEP] I would rather be outside. [SEP] '	natural	COCA; 2008 (080525); SPORTS; Outdoors; Pg. A51; Young captains born to the water; Grider, Griffin on fast track in guiding charters to the fishing spots they love; Dale Bowman, The Chicago Sun-Times; NEWS: Chicago Sun-Times	drive	natural	natural	1	none	protagonist	to Port Washington	
You drop the kids at Coretta's, because she's offered, and you meet Harold on a gray, muggy evening in Old Town at the Holiday Inn for a drink. [SEP] It turns out Harold sells only men's shoes, but you hide your disappointment. [SEP] He's short, but so are you. [SEP] His neck is fat and his features seem compressed in his large face. [SEP] He doesn't say much, just smiles a lot, but he does pay for the drink. [SEP] You thank him and say good night. You	drive	to pick up the kids, thinking about Reb. [SEP] You replay his tape that night and his voice lulls you to sleep. [SEP] You wake up once in the night with the headphones silent, but pressing against your ears.	natural	COCA; 1997 (Spring);  Vol. 19, Iss. 2; pg. 90, 22 pgs; African Queen; Alyce Miller; FIC: The Kenyon Review	drive	natural	natural	1	none	protagonist	to pick up the kids	
Our parents, who never went anywhere but out to dinner, had gone to Orcas Island for the weekend. [SEP] Dad's company was having a convention. [SEP] For weeks before they left we heard the details. [SEP] How they would	drive	to Anacortes to catch the ferry, how they'd stay in a resort, dress for dinner, attend a masquerade and a dinner dance. [SEP] A masquerade! [SEP] A dinner dance! [SEP] Mom, who usually wore capris and one of Dad's old Oxford shirts, went shopping for dresses -- red, emerald green, iridescent, boat-necked, nipped in at the waist. [SEP] Dyed-to-match high heels came in the mail.	natural	COCA;   2018 (2018/09/22); Vol. 4, Issue 2; The World's Most Outstanding Person	drive	natural	natural	1	none	protagonist	to Anacortes	
They decided they would take a break from the boxes they had been unpacking and the wallpaper they had been scraping to go skiing and snowboarding. [SEP] It was the Lintons' first Sunday in New Hampshire, and they woke, took their equipment from the massive pile of athletic gear they had deposited unceremoniously in the mudroom off the front entryway, and Chip hooked everything into the rack on the top of the station wagon or wedged it into the back. [SEP] They would	drive	to Cannon Mountain, where they would buy day passes for the family. [SEP] Emily would snowboard with the girls while Chip skied alone. [SEP] After five days of steady work, the stacks of boxes had begun to shrink and the corridors composed of cardboard had begun to diminish in both height and length.	natural	COCA; 2011; New York : Crown Publishers,Edition: 1st ed; The night strangers :a novel; Bohjalian, Chris, 1960-; FIC: The night strangers :a novel	drive	natural	natural	1	none	protagonist	to Cannon Mountain	
