Well, the town was three miles away and the barn was a 1,000 feet, so you grab your little stainless steel kettle with a lid on it and a handle. [SEP] You'd	walk	down the road with a dollar bill in your hand now this is in the mid-seventies, but still milk was twice that in the store I guess. [SEP] Uh-huh.	#face-to-face#	face-to-face_BorelRaymondHydeII.txt	walk	spoken	OANC_spoken	1
Uh-hum. [SEP] A lot of crystal and plates and she had a plate rail in the dining room that ran around, you know so far down from the ceiling and that damn little bird would	walk	behind those plates and you, you just knew he was going to knock a plate knock off, a plate off but he never did. [SEP] Chased him all the way up to the upstairs, I don't think the bird ever even pooped in the house not that we found--	#face-to-face#	face-to-face_BorelRaymondHydeII.txt	walk	spoken	OANC_spoken	1
their, I want to say it's their aunts and uncles who lived a mile up the dirt road had the first TV in the whole family and so after all the farm work was taken care of and everybody had dinner and that evening everybody would	walk	up the dirt road. [SEP] How far away?	#face-to-face#	face-to-face_BranchElbert.txt	walk	spoken	OANC_spoken	1
My sisters seemed to get a good kick out of it. [SEP] Uh, we used to	walk	up to the local grocery store, uh, which was about three or four blocks away. [SEP] There was also a candy store about three or four blocks in the other direction called Pud's that we used to	#face-to-face#	face-to-face_CaseCullen.txt	walk	spoken	OANC_spoken	1
Uh, we used to	walk	up to the local grocery store, uh, which was about three or four blocks away. [SEP] There was also a candy store about three or four blocks in the other direction called Pud's that we used to	#face-to-face#	face-to-face_CaseCullen.txt	walk	spoken	OANC_spoken	1
Um she was always a very active person. [SEP] Um she used to, she used to	walk	every day. [SEP] Um, she had grown up on the farm.	#face-to-face#	face-to-face_CaseCullen.txt	walk	spoken	OANC_spoken	1
They were afraid of my daddy! [SEP] And one of them said that one day he	walk	ed out to the car and they got where they wouldn't come to the house and she had to	#face-to-face#	face-to-face_ChapmanDebbie.txt	walk	spoken	OANC_spoken	1
But it's never so bad that it keeps me from doing anything, you know? [SEP] I mean, I can still	walk	all over the city and I never remember having to	#face-to-face#	face-to-face_ChapmanDebbie.txt	walk	spoken	OANC_spoken	1
So and, and, the things that, that are everywhere over there. [SEP] You can literally just	walk	down the street, you can get you a bowl of clam chowder in the scooped out bread, you know? [SEP] Oh yeah.	#face-to-face#	face-to-face_ChapmanDebbie.txt	walk	spoken	OANC_spoken	1
And nobody cares! [SEP] And then you could	walk	down Navy Pier and it must be a little bit like San Francisco only they don't have, well, they do have people down there making money, but they're mostly drawing people and stuff like that. [SEP] It is beyond cool!	#face-to-face#	face-to-face_ChapmanDebbie.txt	walk	spoken	OANC_spoken	1
That's one thing I liked about San Francisco. [SEP] When we stayed right there, right in the heart of it, I could	walk	anywhere I wanted to go. [SEP] And we weren't, I could literally	#face-to-face#	face-to-face_ChapmanDebbie.txt	walk	spoken	OANC_spoken	1
When we stayed right there, right in the heart of it, I could	walk	anywhere I wanted to go. [SEP] And we weren't, I could literally	#face-to-face#	face-to-face_ChapmanDebbie.txt	walk	spoken	OANC_spoken	1
And so she sat back down, and, you know, they were still chatting, and they could still see this person, and this person was	walk	ing really, really fast. [SEP] And she said that her brother had this really distinctive	#face-to-face#	face-to-face_FlonoFannie.txt	walk	spoken	OANC_spoken	1
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour. [SEP] You can't even imagine that and I really can't get over, as, as many pilots that I put in that aircraft, and know, and seen them come in ( ) and go	walk	up the plank to, to get him out of the aircraft and he waits for me to get him out. [SEP] And then he looks.	#face-to-face#	face-to-face_FrancisClem.txt	walk	spoken	OANC_spoken	1
I say, "OK, everybody, we're going to get out of the truck, we're going to kind of look around, we'll do some stuff, and then, we'll probably eat breakfast, and then we'll go or, ea, we had our little bag lunches, and then we'll go down to the lake. And, uh, we get out of the truck, and we	walk	about ten feet, and I, I was like,	#face-to-face#	face-to-face_FunkBernie.txt	walk	spoken	OANC_spoken	1
you know, my go, my son's cussing like I do, you know, I was so scared! [SEP] So we	walk	, we	#face-to-face#	face-to-face_FunkBernie.txt	walk	spoken	OANC_spoken	1
Um, we would ride the buses; a big treat was to ride the bus uptown to go shopping at Ivy's and Belk's. [SEP] And for Christmas they had these elaborate window displays and we would ride the buses uptown on the weekend to look at all the, and	walk	all through uptown to look at the window displays with all the Christmas decorations. [SEP] That was the big entertainment.	#face-to-face#	face-to-face_GillardSylvia.txt	walk	spoken	OANC_spoken	1
And we had sock hops on Saturdays. [SEP] Once a month we'd have a sock hop and we'd	walk	to that , or we'd thumb.	#face-to-face#	face-to-face_GillardSylvia.txt	walk	spoken	OANC_spoken	1
So we had a weekend when it was like 12 of us staying there with one toilet, the hose going in through the kitchen and piles of dirt and then the porch wasn't finished and we had boards going up to the porch so you had to	walk	up the boards to get in. [SEP] So I had my dates pick me up at somebody else's house because I was embarrassed for them to come my house.	#face-to-face#	face-to-face_GillardSylvia.txt	walk	spoken	OANC_spoken	1
