And I asked him, you know, could I do it, um, "Do you need me to stay and do it tonight or I could have it done by lunchtime tomorrow, if that's OK." [SEP] Well, what happens the client	walks	through the door that needs it. [SEP] So I'm like, "Oh my gosh," and Ramona was standing there.	#face-to-face#	face-to-face_FeberAngelina.txt	walk	spoken	OANC_spoken	4
About the lady at the beach that lost her children and she	walks	, you know, the, the beaches at night. [SEP] This is similar, it's about a woman who lost her children, they were killed, and she	#face-to-face#	face-to-face_MorrisKatie.txt	walk	spoken	OANC_spoken	4
She goes and have a seat. [SEP] Two minutes later the beautician comes,	walks	in, you know what I'm saying,	#face-to-face#	face-to-face_NesbittFrank.txt	walk	spoken	OANC_spoken	4
yeah i don't know i like that he	walks	in you know and he's got this little gift and how'd you pay for it credit  he you know said whipped out my little card and see there's no secrecy to that because the bill always comes in and we know how much they pay for it	#telephone#	telephone_sw2023-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
you don't even know who to payoff huh i mean somebody	walks	in the classroom and you don't know what they're there for you know when they're coming how long they're going to be yeah	#telephone#	telephone_sw2078-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
yeah and uh somebody	walks	in there with a gun i mean they're going to want the money and you can tell by the people who are always caught that these people are there to get money for drugs i mean they don't want the money so uh so they can do something else with it now they don't want the money for food that's for sure	#telephone#	telephone_sw2160-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
i think i was one okay um first thing i thought of was was just the men that put the flyers on the door and i'm a Christian and i think i feel sorry for people that have to do that you know what i mean i always pray for the guys but when i'm sitting on my couch and it's and a man just	walks	up and puts his hand on my doorknob uh-huh	#telephone#	telephone_sw2169-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
but i really admire people who can go and work out and well i don't you know a lot of people i have a girlfriend that goes for the social aspect of it and she	walks	around talks to people and and um-hum	#telephone#	telephone_sw2191-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
huh you know he was in trouble the time was running out on the clock and he goes walking up to Mike Ditka to talk to him and Mike Ditka just turns his back on him and	walks	away huh	#telephone#	telephone_sw2411-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
now that i've moved to Texas and i work ten minutes away um i have a lot more free time to take	walks	with the family or go bicycling bicycling or play basketball or baseball with my son and uh uh it just uh it from that standpoint uh leaving that area was a was was turn turn around was good for my health i guess you could say	#telephone#	telephone_sw2438-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
yeah yeah and then and then some some rich yo-yo	walks	in there who's buddies with the bank president saying look i want to borrow right	#telephone#	telephone_sw2553-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
and uh it's it's but i had a cousin of mine that was in a different nursing home which was sort of nicer you know and until really close to the end she was able to go out and take	walks	and things and they took her outside and in some ways i think it might have even um-hum	#telephone#	telephone_sw2561-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
oh uh he had only given up two hits and uh two	walks	and nine strike outs so he's he's back in the groove and a a guy his age this this afternoon here it's about seventy nine degrees hum	#telephone#	telephone_sw2606-ms98-a-trans.txt	walk	spoken	OANC_spoken	4
