Laura was working at Starbucks. A woman bought a latte and a biscotti from her, but forgot the bag with the biscotti. She 	came	 over to the table and explained the mistake.	1	expt	come	expt	expt	3	named	unSubj	pro	NA	went	came	drove	walked	arrived
A woman was working at Starbucks. A woman bought a latte and a biscotti from her, but forgot the bag with the biscotti. She 	came	 over to the table and explained the mistake.	1	expt	come	expt	expt	3	unnamed	unSubj	pro	NA	went	came	drove	walked	arrived
Laura was working at Starbucks. Maria bought a latte and a biscotti from her, but forgot the bag with the biscotti. She 	came	 over to the table and explained the mistake.	1	expt	come	expt	expt	3	named	nameSubj	pro	NA	went	came	drove	walked	arrived
A woman was working at Starbucks. Maria bought a latte and a biscotti from her, but forgot the bag with the biscotti. She 	came	 over to the table and explained the mistake.	1	expt	come	expt	expt	3	unnamed	nameSubj	pro	NA	went	came	drove	walked	arrived
Laura was working at Starbucks. She sold a latte and a biscotti to a woman, but forgot the bag with the biscotti. She 	came	 over to the table and explained the mistake.	1	expt	come	expt	expt	3	named	unObj	pro	NA	went	came	drove	walked	arrived
A woman was working at Starbucks. She sold a latte and a biscotti to a woman, but forgot the bag with the biscotti. She 	came	 over to the table and explained the mistake.	1	expt	come	expt	expt	3	unnamed	unObj	pro	NA	went	came	drove	walked	arrived
Laura was working at Starbucks. She sold a latte and a biscotti to Maria, but forgot the bag with the biscotti. She 	came	 over to the table and explained the mistake.	1	expt	come	expt	expt	3	named	nameObj	pro	NA	went	came	drove	walked	arrived
A woman was working at Starbucks. She sold a latte and a biscotti to Maria, but forgot the bag with the biscotti. She 	came	 over to the table and explained the mistake.	1	expt	come	expt	expt	3	unnamed	nameObj	pro	NA	went	came	drove	walked	arrived
Laura was working at Starbucks. A woman bought a latte and a biscotti from her, but forgot the bag with the biscotti. She 	came	 over to the counter and explained the mistake.	1	expt	come	expt	expt	3	named	unSubj	non	NA	went	came	drove	walked	arrived
A woman was working at Starbucks. A woman bought a latte and a biscotti from her, but forgot the bag with the biscotti. She 	came	 over to the counter and explained the mistake.	1	expt	come	expt	expt	3	unnamed	unSubj	non	NA	went	came	drove	walked	arrived
Laura was working at Starbucks. Maria bought a latte and a biscotti from her, but forgot the bag with the biscotti. She 	came	 over to the counter and explained the mistake.	1	expt	come	expt	expt	3	named	nameSubj	non	NA	went	came	drove	walked	arrived
A woman was working at Starbucks. Maria bought a latte and a biscotti from her, but forgot the bag with the biscotti. She 	came	 over to the counter and explained the mistake.	1	expt	come	expt	expt	3	unnamed	nameSubj	non	NA	went	came	drove	walked	arrived
Laura was working at Starbucks. She sold a latte and a biscotti to a woman, but forgot the bag with the biscotti. She 	came	 over to the counter and explained the mistake.	1	expt	come	expt	expt	3	named	unObj	non	NA	went	came	drove	walked	arrived
A woman was working at Starbucks. She sold a latte and a biscotti to a woman, but forgot the bag with the biscotti. She 	came	 over to the counter and explained the mistake.	1	expt	come	expt	expt	3	unnamed	unObj	non	NA	went	came	drove	walked	arrived
Laura was working at Starbucks. She sold a latte and a biscotti to Maria, but forgot the bag with the biscotti. She 	came	 over to the counter and explained the mistake.	1	expt	come	expt	expt	3	named	nameObj	non	NA	went	came	drove	walked	arrived
A woman was working at Starbucks. She sold a latte and a biscotti to Maria, but forgot the bag with the biscotti. She 	came	 over to the counter and explained the mistake.	1	expt	come	expt	expt	3	unnamed	nameObj	non	NA	went	came	drove	walked	arrived
Paul was building a deck in his backyard. A neighbor lent him her sander. When he 	came	 to return it, he gave her a plate of cookies as thanks.	2	expt	come	expt	expt	3	named	unSubj	pro	NA	went	came	drove	walked	arrived
A man was building a deck in his backyard. A neighbor lent him her sander. When he 	came	 to return it, he gave her a plate of cookies as thanks.	2	expt	come	expt	expt	3	unnamed	unSubj	pro	NA	went	came	drove	walked	arrived
