but uh what he did was this house is so big that now that he's retired and everything what they do is they have a home in Florida and he completed and they in the Summer when it's just too hot to stay in Florida they	go	up to New Hampshire and he built himself an apartment in another corner of the house um	#telephone#	telephone_sw2746-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
um and he and his uh wife stay up there and then in the winter they	go	back to Florida and they live in a little trailer home in Florida uh-huh that's always nice to have	#telephone#	telephone_sw2746-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
yeah we do the same yeah people actively	go	out and and uh seek them you know i guess that's one way of doing it you know is to make it worthwhile yeah all the states around us Connecticut uh Massachusetts New Hampshire i think Vermont and Maine do it Rhode Island's the only state that doesn't put a nickel deposit on the bottles	#telephone#	telephone_sw2747-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
well course there's uh people will	go	after aluminum cans and stuff down here because it's just uh there's not a per can value on them but there is a oh just on the metal content	#telephone#	telephone_sw2747-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
yeah the uh all the all the communities in Rhode Island eventually are	go	ing to	#telephone#	telephone_sw2747-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
uh we went on it quite early because of the town fathers said yeah you know we think it's a	go	od idea but the state i think by nineteen ninety three every every town in the state has to	#telephone#	telephone_sw2747-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
right i figure by by doing it before i put in the carpeting you know the carpet is so bad whatever i spill it's too bad right well that's that's a	go	od idea get get the pointing over with and then the carpet's	#telephone#	telephone_sw2748-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
huh well you would think that they would get that in the uh when the prosecution and defense are choosing the jury you would think that those would come out and i i i know they automatically when you	go	through uh when you're chosen is you're automatically like a a a professor in criminal justice or something like that that you're automatically no they don't want you on the jury	#telephone#	telephone_sw2749-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
um-hum um-hum and uh or they fool the the defense in thinking that they're you know because when they	go	through those processes they kind of pick out who they want oh of course it's it's political maneuvering the the one side is looking for someone whose face they think will you know want to hang everyone and the other one is	#telephone#	telephone_sw2749-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
yeah well it sounds like we both need to get out there and serve on a jury i i hope we're called up before too long yeah i would love to be called i'm ready to	go	they j ust haven't called me up yet they will they will eventually	#telephone#	telephone_sw2749-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
uh fairly recently at this point in that generation that we're honoring there's only well my mother is ninety three and she won't	go	this year because it's just too hard on her but uh and there's one other wife but all of the all of the children are now	#telephone#	telephone_sw2750-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
um-hum but that that will cut pollution too because you get a lot of out gassing from these things i think decaying and trying and trying to for instance cans and bottles they never	go	away at all um-hum	#telephone#	telephone_sw2752-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
um-hum somebody found out you know like in the middle of the night they would	go	ahead and do it anyway i think they	#telephone#	telephone_sw2752-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
oh	go	od well that uh that i think may	#telephone#	telephone_sw2752-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
well that uh that i think may	go	on a lot and the primary reason i think it may	#telephone#	telephone_sw2752-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
uh especially particularly on industry uh we have	go	od policing at least in this state and and uh several of the surrounding states and probably yours too of car pollutants because we have to	#telephone#	telephone_sw2752-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
so i'm i'm assuming that you know they check they check everything for safety or i don't know uh it that's something that you'd have to just chec k with your authorities but in this state we have to uh pay eight dollars and a half and	go	to a an emission station once a year and get everyone of our cars checked that are have been made starting in nineteen seventy three	#telephone#	telephone_sw2752-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
yeah yeah i'm absolutely for drinking water out of wells as long as you first of course have it checked because it seems uh when i was a kid growing up down south uh i used to	go	out in the country where my grandparents were and we had a well with one of those draws that i forget what you call those things and and that was some of the best tasting water i mean i can still to this day taste that water	#telephone#	telephone_sw2752-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
guarantee quality yeah a lot of times you might just need to	go	now and feel file for it just like a business you may not have to prove any type of qualification for it i don't uh	#telephone#	telephone_sw2755-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
oh okay where all you guys	go	well we	#telephone#	telephone_sw2756-ms98-a-trans.txt	go	spoken	OANC_spoken	1	go	come	drive	walk	arrive
