deficit reduction projected for the next few years--$102 billion out of a total $127 billion from 1998 through 2002. [SEP] And $50 billion of that is to	come	from savings expected in the Medicare HMO program. [SEP] If the HMO program fails, it will	#journal#	journal_ArticleIP_5099.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
billion, Ross Perot can avoid party ties and just run for president. [SEP] For most people to compete they need to	come	together and to raise funds, agree upon a platform, choose candidates, and so on. [SEP] Party loyalty and discipline make that	#journal#	journal_ArticleIP_5105.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
WASHINGTON, D.C.--History records that the first telephone conversation in 1876 was an urgent request for an in-person meeting. [SEP] "Mr. Watson,	come	here, I want you," Alexander Graham Bell is supposed to have said to his assistant in the	#journal#	journal_ArticleIP_52615.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
practice, the technology was pretty clunky. [SEP] Due to "network congestion," the voices of two of the officials didn't	come	through at all, and others were either time-delayed or so distorted as to be barely audible. [SEP] At times, the town	#journal#	journal_ArticleIP_52615.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
of primitive video-conferencing. [SEP] In a way, it made you marvel at how far we haven't	come	since FDR's day. [SEP] When	#journal#	journal_ArticleIP_52615.txt	come	written	OANC_written	5	gone	come	driven	walked	arrived
logical complements. [SEP] God empowered humans with reason precisely so that humankind might	come	to a better understanding of God and God's creation. [SEP] "Fides et Ratio" says there is thus no reason for competition of any kind	#journal#	journal_ArticleIP_5352.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
faith. [SEP] If you use your reason in the way it was intended, you will discover the wonder and mystery in God's creation and, in turn, you will	come	to a greater understanding and appreciation of God.	#journal#	journal_ArticleIP_5352.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
appointments of blacks to Cabinet positions--and 12 years of Republican assaults on equal opportunity--and it should	come	as no surprise that blacks are enthusiastic about this president.	#journal#	journal_ArticleIP_5436.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
black Southerners, have endured political contempt for so long that many of them have	come	to assume that any white person who treats them with respect must somehow be black under the skin. [SEP] But the claim that Clinton has a "black"	#journal#	journal_ArticleIP_5436.txt	come	written	OANC_written	5	gone	come	driven	walked	arrived
I fear I've made Rosetta sound programmatic. [SEP] Well, it is, but the thing you	come	away with isn't the program but the rhythm and texture of a young, working-class	#journal#	journal_ArticleIP_55682.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
out of his mouth. [SEP] The movie doesn't	come	to much, though. [SEP] Egoyan's best films have tricky textures: They double and triple back on themselves in	#journal#	journal_ArticleIP_55682.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
"Some of our leaders on Capitol Hill suggested that I	come	over here to the Berlin Wall and dance on the wall," said President Bush. [SEP] "Without wearing underwear," he did not add.	#journal#	journal_ArticleIP_55732.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
exercises, you had to grab your partner, spin him this way and that, and generally	come	in very close contact. [SEP] Self-Defense	#journal#	journal_ArticleIP_55898.txt	come	written	OANC_written	1	go	come	drive	walk	arrive
